Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
30,call of duty modern warfare 3,X360,2011.0,Shooter,Activision,9.03,4.28,0.13,1.32,14.76
31,pokémon yellow special pikachu edition,GB,1998.0,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64
32,call of duty black ops,X360,2010.0,Shooter,Activision,9.67,3.73,0.11,1.13,14.64
33,pokemon x/pokemon y,3DS,2013.0,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35
34,call of duty black ops 3,PS4,2015.0,Shooter,Activision,5.77,5.81,0.35,2.31,14.24
35,call of duty black ops ii,PS3,2012.0,Shooter,Activision,4.99,5.88,0.65,2.52,14.03
36,call of duty black ops ii,X360,2012.0,Shooter,Activision,8.25,4.3,0.07,1.12,13.73
37,call of duty modern warfare 2,X360,2009.0,Shooter,Activision,8.52,3.63,0.08,1.29,13.51
38,call of duty modern warfare 3,PS3,2011.0,Shooter,Activision,5.54,5.82,0.49,1.62,13.46
39,grand theft auto iii,PS2,2001.0,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1
40,super smash bros. brawl,Wii,2008.0,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04
41,call of duty black ops,PS3,2010.0,Shooter,Activision,5.98,4.44,0.48,1.83,12.73
42,animal crossing wild world,DS,2005.0,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27
43,mario kart 7,3DS,2011.0,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21
44,halo 3,X360,2007.0,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14
45,grand theft auto v,PS4,2014.0,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98
46,pokemon heartgold/pokemon soulsilver,DS,2009.0,Action,Nintendo,4.4,2.77,3.96,0.77,11.9
47,super mario 64,N64,1996.0,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89
48,gran turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66
49,super mario galaxy,Wii,2007.0,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52
50,pokemon omega ruby/pokemon alpha sapphire,3DS,2014.0,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33
51,super mario land 2 6 golden coins,GB,1992.0,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18
52,grand theft auto iv,X360,2008.0,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02
53,gran turismo,PS,1997.0,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95
54,super mario 3d land,3DS,2011.0,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79
55,gran turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77
56,call of duty modern warfare 2,PS3,2009.0,Shooter,Activision,4.99,3.69,0.38,1.63,10.69
57,grand theft auto iv,PS3,2008.0,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57
58,super mario allstars,SNES,1993.0,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55
59,pokemon firered/pokemon leafgreen,GBA,2004.0,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49
60,super mario 64,DS,2004.0,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42
61,just dance 3,Wii,2011.0,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26
62,call of duty ghosts,X360,2013.0,Shooter,Activision,6.72,2.63,0.04,0.82,10.21
63,halo reach,X360,2010.0,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88
64,mario kart 64,N64,1996.0,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87
65,new super mario bros. 2,3DS,2012.0,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82
66,halo 4,X360,2012.0,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76
67,final fantasy vii,PS,1997.0,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72
68,call of duty ghosts,PS3,2013.0,Shooter,Activision,4.09,3.73,0.38,1.38,9.59
69,just dance 2,Wii,2010.0,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52
70,gran turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49
71,call of duty 4 modern warfare,X360,2007.0,Shooter,Activision,5.91,2.38,0.13,0.9,9.32
72,donkey kong country,SNES,1994.0,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3
73,minecraft,X360,2013.0,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2
74,animal crossing new leaf,3DS,2012.0,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09
75,mario party ds,DS,2007.0,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02
76,the elder scrolls v skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84
77,super mario kart,SNES,1992.0,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76
78,fifa 16,PS4,2015.0,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49
79,wii party,Wii,2010.0,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49
80,halo 2,XB,2004.0,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49
81,mario party 8,Wii,2007.0,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42
82,pokemon black 2/pokemon white 2,DS,2012.0,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33
83,fifa soccer 13,PS3,2012.0,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24
84,the sims 3,PC,2009.0,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11
85,goldeneye 007,N64,1997.0,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09
86,mario  sonic at the olympic games,Wii,2007.0,Sports,Sega,2.58,3.9,0.66,0.91,8.06
87,final fantasy x,PS2,2001.0,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05
88,final fantasy viii,PS,1999.0,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86
89,pokémon platinum version,DS,2008.0,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84
90,pacman,2600,1982.0,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81
91,grand theft auto liberty city stories,PSP,2005.0,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72
92,super mario galaxy 2,Wii,2010.0,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69
93,star wars battlefront 2015,PS4,2015.0,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67
94,call of duty advanced warfare,PS4,2014.0,Shooter,Activision,2.8,3.3,0.14,1.37,7.6
95,the legend of zelda ocarina of time,N64,1998.0,Action,Nintendo,4.1,1.89,1.45,0.16,7.6
96,crash bandicoot 2 cortex strikes back,PS,1997.0,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58
97,super mario bros. 2,NES,1988.0,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46
98,super smash bros. for wii u and 3ds,3DS,2014.0,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45
99,call of duty world at war,X360,2008.0,Shooter,Activision,4.79,1.9,0.0,0.69,7.37
100,battlefield 3,X360,2011.0,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34
101,the legend of zelda twilight princess,Wii,2006.0,Action,Nintendo,3.83,2.19,0.6,0.7,7.31
102,call of duty black ops 3,XOne,2015.0,Shooter,Activision,4.52,2.09,0.01,0.67,7.3
103,just dance,Wii,2009.0,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27
104,battlefield 3,PS3,2011.0,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23
105,need for speed underground,PS2,2003.0,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2
106,tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16
107,crash bandicoot 3 warped,PS,1998.0,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13
108,super smash bros. melee,GC,2001.0,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07
109,mario kart 8,WiiU,2014.0,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96
110,fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96
111,mario kart double dash!!,GC,2003.0,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95
112,just dance 4,Wii,2012.0,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91
113,fifa 14,PS3,2013.0,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9
114,need for speed underground 2,PS2,2004.0,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9
115,medal of honor frontline,PS2,2002.0,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83
116,uncharted 3 drakes deception,PS3,2011.0,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83
117,crash bandicoot,PS,1996.0,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82
118,zumba fitness,Wii,2010.0,Sports,505 Games,3.5,2.64,0.0,0.67,6.81
119,gears of war 2,X360,2008.0,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76
120,uncharted 2 among thieves,PS3,2009.0,Action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73
121,call of duty 4 modern warfare,PS3,2007.0,Shooter,Activision,3.1,2.3,0.28,1.04,6.72
122,fifa 12,PS3,2011.0,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69
123,big brain academy,DS,2005.0,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67
124,red dead redemption,PS3,2010.0,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6
125,fifa 15,PS4,2014.0,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59
126,donkey kong country returns,Wii,2010.0,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59
127,the elder scrolls v skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56
128,the legend of zelda,NES,1986.0,Action,Nintendo,3.74,0.93,1.69,0.14,6.51
129,assassins creed iii,PS3,2012.0,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5
130,halo combat evolved,XB,2001.0,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43
131,pokémon emerald version,GBA,2004.0,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41
132,kingdom hearts,PS2,2002.0,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4
133,pokémon crystal version,GB,2000.0,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39
134,halo 3 odst,X360,2009.0,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36
135,red dead redemption,X360,2010.0,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34
136,super mario sunshine,GC,2002.0,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31
137,street fighter ii the world warrior,SNES,1992.0,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3
138,world of warcraft,PC,2004.0,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28
139,driver,PS,1999.0,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27
140,kinect sports,X360,2010.0,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24
141,gears of war 3,X360,2011.0,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24
142,gears of war,X360,2006.0,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11
143,metal gear solid 2 sons of liberty,PS2,2001.0,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05
144,sonic the hedgehog 2,GEN,1992.0,Platform,Sega,4.47,1.2,0.16,0.19,6.03
145,metal gear solid 4 guns of the patriots,PS3,2008.0,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03
146,metal gear solid,PS,1998.0,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03
147,the last of us,PS3,2013.0,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99
148,final fantasy xii,PS2,2006.0,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95
149,littlebigplanet,PS3,2008.0,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92
150,dragon quest ix sentinels of the starry skies,DS,2009.0,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84
151,lego star wars the complete saga,Wii,2007.0,Action,LucasArts,3.66,1.63,0.0,0.53,5.83
152,resident evil 2,PS,1998.0,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82
153,tekken 2,PS,1996.0,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74
154,cooking mama,DS,2006.0,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72
155,destiny,PS4,2014.0,Shooter,Activision,2.49,2.05,0.16,0.96,5.65
156,tetris,NES,1988.0,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58
157,assassins creed ii,PS3,2009.0,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57
158,super smash bros.,N64,1999.0,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55
159,assassins creed,X360,2007.0,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55
160,batman arkham city,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53
161,forza motorsport 3,X360,2009.0,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51
162,monster hunter freedom unite,PSP,2008.0,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5
163,super mario advance,GBA,2001.0,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49
164,mario kart super circuit,GBA,2001.0,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47
165,super mario world,GBA,2001.0,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46
166,pokemon stadium,N64,1999.0,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45
167,call of duty world at war,PS3,2008.0,Shooter,Activision,2.72,1.87,0.0,0.84,5.43
168,crash bandicoot the wrath of cortex,PS2,2001.0,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42
169,minecraft,PS3,2014.0,Misc,Sony Computer Entertainment,1.97,2.51,0.0,0.94,5.42
170,final fantasy xiii,PS3,2009.0,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36
171,dr. mario,GB,1989.0,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34
172,pokemon pinball,GB,1999.0,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31
173,assassins creed iii,X360,2012.0,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3
174,final fantasy ix,PS,2000.0,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3
175,final fantasy x2,PS2,2003.0,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29
176,donkey kong 64,N64,1999.0,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27
177,assassins creed ii,X360,2009.0,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27
178,professor layton and the curious village,DS,2007.0,Puzzle,Nintendo,1.22,2.48,1.03,0.52,5.26
179,tomb raider ii,PS,1997.0,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24
180,madden nfl 2004,PS2,2007.0,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23
181,dragon quest viii journey of the cursed king,PS2,2004.0,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21
182,diablo iii,PC,2012.0,Role-Playing,Activision,2.43,2.15,0.0,0.62,5.2
183,super mario bros. 3,GBA,2003.0,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2
184,new super mario bros. u,WiiU,2012.0,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19
185,super mario land 3 wario land,GB,1994.0,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19
186,fifa soccer 13,X360,2012.0,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18
187,the legend of zelda phantom hourglass,DS,2007.0,Action,Nintendo,1.9,1.83,0.95,0.49,5.17
188,donkey kong country 2 diddys kong quest,SNES,1995.0,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15
189,tomodachi life,3DS,2013.0,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15
190,mario  sonic at the olympic games,DS,2008.0,Sports,Sega,1.64,2.48,0.44,0.58,5.14
191,medal of honor rising sun,PS2,2003.0,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13
192,kirbys dream land,GB,1992.0,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13
193,fable iii,X360,2010.0,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13
194,call of duty advanced warfare,XOne,2014.0,Shooter,Activision,3.21,1.53,0.01,0.38,5.13
195,microsoft flight simulator,PC,1996.0,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12
196,guitar hero ii,PS2,2006.0,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12
197,resident evil 5,PS3,2009.0,Action,Capcom,1.96,1.43,1.08,0.65,5.11
198,grand theft auto v,XOne,2014.0,Action,Take-Two Interactive,2.66,2.01,0.0,0.41,5.08
199,grand theft auto vice city stories,PSP,2006.0,Action,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08
200,fifa soccer 11,PS3,2010.0,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08
201,super mario bros.,GB,1999.0,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07
202,resident evil,PS,1996.0,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05
203,tony hawks pro skater,PS,1999.0,Sports,Activision,3.42,1.38,0.02,0.2,5.02
204,super smash bros. for wii u and 3ds,WiiU,2014.0,Fighting,Nintendo,2.59,1.06,0.8,0.57,5.02
205,warzone 2100,PS,1999.0,Strategy,Eidos Interactive,2.79,1.89,0.0,0.33,5.01
206,spyro the dragon,PS,1998.0,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5.0
207,links crossbow training,Wii,2007.0,Shooter,Nintendo,3.06,1.18,0.29,0.46,5.0
208,guitar hero iii legends of rock,PS2,2007.0,Misc,Activision,3.49,0.01,0.01,1.48,4.98
209,fallout 3,X360,2008.0,Role-Playing,Bethesda Softworks,3.39,1.03,0.09,0.44,4.96
210,pokemon mystery dungeon explorers of time/explorers of darkness,DS,2007.0,Role-Playing,Nintendo,1.85,1.2,1.54,0.37,4.96
211,uncharted drakes fortune,PS3,2007.0,Action,Sony Computer Entertainment,2.31,1.73,0.12,0.78,4.94
212,madden nfl 06,PS2,2005.0,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91
213,lego star wars the complete saga,DS,2007.0,Action,LucasArts,2.89,1.54,0.0,0.46,4.9
214,diddy kong racing,N64,1997.0,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88
215,monster hunter freedom 3,PSP,2010.0,Role-Playing,Capcom,0.0,0.0,4.87,0.0,4.87
216,dr. mario,NES,1990.0,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85
217,god of war iii,PS3,2010.0,Action,Sony Computer Entertainment,2.74,1.36,0.12,0.63,4.84
218,starcraft ii wings of liberty,PC,2010.0,Strategy,Activision,2.56,1.68,0.0,0.59,4.83
219,assassins creed,PS3,2007.0,Adventure,Ubisoft,1.91,2.0,0.09,0.83,4.83
220,fifa 15,PS3,2014.0,Sports,Electronic Arts,0.57,3.14,0.04,1.07,4.82
221,crash team racing,PS,1999.0,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79
222,fifa 17,PS4,2016.0,Sports,Electronic Arts,0.28,3.75,0.06,0.69,4.77
223,batman arkham city,X360,2011.0,Action,Warner Bros. Interactive Entertainment,2.99,1.31,0.04,0.41,4.76
224,driver 2,PS,2000.0,Action,Atari,2.36,2.1,0.02,0.25,4.73
225,the simpsons hit  run,PS2,2003.0,Racing,Vivendi Games,1.73,2.19,0.0,0.79,4.7
226,tony hawks pro skater 2,PS,2000.0,Sports,Activision,3.05,1.41,0.02,0.2,4.68
227,animal crossing city folk,Wii,2008.0,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68
228,the lord of the rings the two towers,PS2,2002.0,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67
229,forza motorsport 4,X360,2011.0,Racing,Microsoft Game Studios,2.08,2.04,0.06,0.47,4.64
230,tomb raider,PS,1996.0,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63
231,guitar hero iii legends of rock,Wii,2007.0,Misc,Activision,3.06,1.12,0.0,0.44,4.62
232,the legend of zelda a link to the past,SNES,1991.0,Action,Nintendo,2.42,0.91,1.15,0.13,4.61
233,the legend of zelda the wind waker,GC,2002.0,Action,Nintendo,2.6,0.99,0.89,0.13,4.6
234,mario  sonic at the olympic winter games,Wii,2009.0,Sports,Sega,1.89,1.99,0.22,0.48,4.58
235,luigis mansion dark moon,3DS,2013.0,Action,Nintendo,1.78,1.39,1.1,0.3,4.58
236,splatoon,WiiU,2015.0,Shooter,Nintendo,1.55,1.15,1.44,0.43,4.57
237,the last of us,PS4,2014.0,Action,Sony Computer Entertainment,1.78,1.87,0.07,0.82,4.55
238,guitar hero iii legends of rock,X360,2007.0,Misc,Activision,3.19,0.92,0.01,0.42,4.53
239,madden nfl 2005,PS2,2004.0,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53
240,pitfall!,2600,1981.0,Platform,Activision,4.21,0.24,0.0,0.05,4.5
241,madden nfl 07,PS2,2006.0,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49
242,spiderman the movie,PS2,2002.0,Action,Activision,2.71,1.51,0.03,0.23,4.48
243,dragon quest vii warriors of eden,PS,2000.0,Role-Playing,Enix Corporation,0.2,0.14,4.1,0.02,4.47
244,uncharted the nathan drake collection,PS4,2015.0,Action,Sony Computer Entertainment,1.96,1.69,0.08,0.74,4.47
245,call of duty advanced warfare,PS3,2014.0,Shooter,Activision,1.54,1.94,0.19,0.77,4.45
246,god of war,PS2,2005.0,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45
247,nintendo land,WiiU,2012.0,Misc,Nintendo,2.55,1.11,0.46,0.33,4.44
248,michael jackson the experience,Wii,2010.0,Misc,Ubisoft,2.67,1.35,0.01,0.39,4.42
249,tony hawks pro skater 3,PS2,2001.0,Sports,Activision,2.66,1.29,0.01,0.46,4.41
250,winning eleven pro evolution soccer 2007,PS2,2006.0,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39
251,the elder scrolls iv oblivion,X360,2006.0,Role-Playing,Take-Two Interactive,2.82,1.05,0.13,0.4,4.39
252,zelda ii the adventure of link,NES,1987.0,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38
253,need for speed most wanted,PS2,2005.0,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37
254,resistance fall of man,PS3,2006.0,Shooter,Sony Computer Entertainment,1.73,1.73,0.14,0.75,4.35
255,sonic the hedgehog,GEN,1991.0,Platform,Sega,3.03,0.91,0.26,0.13,4.34
256,kingdom hearts ii,PS2,2005.0,Role-Playing,Square Enix,2.2,0.58,1.38,0.17,4.33
257,fifa 14,X360,2013.0,Sports,Electronic Arts,0.92,2.93,0.01,0.46,4.31
258,call of duty advanced warfare,X360,2014.0,Shooter,Activision,2.75,1.18,0.0,0.37,4.31
259,asteroids,2600,1980.0,Shooter,Atari,4.0,0.26,0.0,0.05,4.31
260,fable ii,X360,2008.0,Role-Playing,Microsoft Game Studios,2.51,1.27,0.11,0.41,4.31
261,halo 5 guardians,XOne,2015.0,Shooter,Microsoft Game Studios,2.64,1.2,0.03,0.39,4.26
262,super mario 3d world,WiiU,2013.0,Platform,Nintendo,2.11,1.11,0.72,0.3,4.25
263,batman arkham asylum,PS3,2009.0,Action,Eidos Interactive,2.23,1.34,0.07,0.61,4.25
264,assassins creed revelations,PS3,2011.0,Action,Ubisoft,1.41,2.02,0.1,0.72,4.24
265,namco museum,GBA,2001.0,Misc,Namco Bandai Games,3.0,1.11,0.05,0.07,4.24
266,metal gear solid 3 snake eater,PS2,2004.0,Action,Konami Digital Entertainment,1.46,0.0,0.83,1.93,4.23
267,daxter,PSP,2006.0,Platform,Sony Computer Entertainment,2.45,1.02,0.0,0.75,4.22
268,warcraft ii tides of darkness,PC,1995.0,Strategy,Activision,1.7,2.27,0.0,0.23,4.21
269,the legend of zelda ocarina of time,3DS,2011.0,Action,Nintendo,2.03,1.27,0.62,0.3,4.21
